Offer,Total Cost of Loan,Down Payment,Principle,Rate,Down Payment: Percent of Total Offer,Monthly Payment,25% Total Cost of Loan,30% Total Cost of Loan,25% of Total Monthly Payment,30% of Total Monthly Payment,25% of Down Payment,30% of Down Payment,Rent 1,Rent 2,Rent 3,25% Payment - 25% Rent 1,30% Payment - 30% Rent 1,25% Payment - 25% Rent 2,30% Payment - 30% Rent 2,25% Payment - 25% Rent 3,30% Payment - 30 % Rent 3
850000,705596.9658908661,400000,450000,0.065,0.47058823529411764,3919.983143838145,176399.24147271653,211679.08976725984,979.9957859595363,1175.9949431514435,100000.0,120000.0,5000,6000,7000,667.4957859595363,725.9949431514435,604.9957859595363,635.9949431514435,542.4957859595363,545.9949431514435
825000,705596.9658908661,375000,450000,0.065,0.45454545454545453,3919.983143838145,176399.24147271653,211679.08976725984,979.9957859595363,1175.9949431514435,93750.0,112500.0,5000,6000,7000,667.4957859595363,725.9949431514435,604.9957859595363,635.9949431514435,542.4957859595363,545.9949431514435
800000,705596.9658908661,350000,450000,0.065,0.4375,3919.983143838145,176399.24147271653,211679.08976725984,979.9957859595363,1175.9949431514435,87500.0,105000.0,5000,6000,7000,667.4957859595363,725.9949431514435,604.9957859595363,635.9949431514435,542.4957859595363,545.9949431514435
775000,705596.9658908661,325000,450000,0.065,0.41935483870967744,3919.983143838145,176399.24147271653,211679.08976725984,979.9957859595363,1175.9949431514435,81250.0,97500.0,5000,6000,7000,667.4957859595363,725.9949431514435,604.9957859595363,635.9949431514435,542.4957859595363,545.9949431514435
750000,705596.9658908661,300000,450000,0.065,0.4,3919.983143838145,176399.24147271653,211679.08976725984,979.9957859595363,1175.9949431514435,75000.0,90000.0,5000,6000,7000,667.4957859595363,725.9949431514435,604.9957859595363,635.9949431514435,542.4957859595363,545.9949431514435
850000,728050.8993904641,400000,450000,0.07,0.47058823529411764,4044.7272188359116,182012.72484761602,218415.26981713923,1011.1818047089779,1213.4181656507735,100000.0,120000.0,5000,6000,7000,698.6818047089779,763.4181656507734,636.1818047089779,673.4181656507734,573.6818047089779,583.4181656507734
825000,728050.8993904641,375000,450000,0.07,0.45454545454545453,4044.7272188359116,182012.72484761602,218415.26981713923,1011.1818047089779,1213.4181656507735,93750.0,112500.0,5000,6000,7000,698.6818047089779,763.4181656507734,636.1818047089779,673.4181656507734,573.6818047089779,583.4181656507734
800000,728050.8993904641,350000,450000,0.07,0.4375,4044.7272188359116,182012.72484761602,218415.26981713923,1011.1818047089779,1213.4181656507735,87500.0,105000.0,5000,6000,7000,698.6818047089779,763.4181656507734,636.1818047089779,673.4181656507734,573.6818047089779,583.4181656507734
775000,728050.8993904641,325000,450000,0.07,0.41935483870967744,4044.7272188359116,182012.72484761602,218415.26981713923,1011.1818047089779,1213.4181656507735,81250.0,97500.0,5000,6000,7000,698.6818047089779,763.4181656507734,636.1818047089779,673.4181656507734,573.6818047089779,583.4181656507734
750000,728050.8993904641,300000,450000,0.07,0.4,4044.7272188359116,182012.72484761602,218415.26981713923,1011.1818047089779,1213.4181656507735,75000.0,90000.0,5000,6000,7000,698.6818047089779,763.4181656507734,636.1818047089779,673.4181656507734,573.6818047089779,583.4181656507734
850000,750880.0116022121,400000,450000,0.075,0.47058823529411764,4171.555620012289,187720.00290055302,225264.0034806636,1042.8889050030723,1251.4666860036866,100000.0,120000.0,5000,6000,7000,730.3889050030723,801.4666860036867,667.8889050030723,711.4666860036867,605.3889050030723,621.4666860036867
825000,750880.0116022121,375000,450000,0.075,0.45454545454545453,4171.555620012289,187720.00290055302,225264.0034806636,1042.8889050030723,1251.4666860036866,93750.0,112500.0,5000,6000,7000,730.3889050030723,801.4666860036867,667.8889050030723,711.4666860036867,605.3889050030723,621.4666860036867
800000,750880.0116022121,350000,450000,0.075,0.4375,4171.555620012289,187720.00290055302,225264.0034806636,1042.8889050030723,1251.4666860036866,87500.0,105000.0,5000,6000,7000,730.3889050030723,801.4666860036867,667.8889050030723,711.4666860036867,605.3889050030723,621.4666860036867
775000,750880.0116022121,325000,450000,0.075,0.41935483870967744,4171.555620012289,187720.00290055302,225264.0034806636,1042.8889050030723,1251.4666860036866,81250.0,97500.0,5000,6000,7000,730.3889050030723,801.4666860036867,667.8889050030723,711.4666860036867,605.3889050030723,621.4666860036867
750000,750880.0116022121,300000,450000,0.075,0.4,4171.555620012289,187720.00290055302,225264.0034806636,1042.8889050030723,1251.4666860036866,75000.0,90000.0,5000,6000,7000,730.3889050030723,801.4666860036867,667.8889050030723,711.4666860036867,605.3889050030723,621.4666860036867
875000,721497.5879814354,400000,475000,0.06,0.45714285714285713,4008.3199332301965,180374.39699535884,216449.2763944306,1002.0799833075491,1202.495979969059,100000.0,120000.0,5000,6000,7000,689.5799833075491,752.4959799690589,627.0799833075491,662.4959799690589,564.5799833075491,572.4959799690589
850000,721497.5879814354,375000,475000,0.06,0.4411764705882353,4008.3199332301965,180374.39699535884,216449.2763944306,1002.0799833075491,1202.495979969059,93750.0,112500.0,5000,6000,7000,689.5799833075491,752.4959799690589,627.0799833075491,662.4959799690589,564.5799833075491,572.4959799690589
825000,721497.5879814354,350000,475000,0.06,0.42424242424242425,4008.3199332301965,180374.39699535884,216449.2763944306,1002.0799833075491,1202.495979969059,87500.0,105000.0,5000,6000,7000,689.5799833075491,752.4959799690589,627.0799833075491,662.4959799690589,564.5799833075491,572.4959799690589
800000,721497.5879814354,325000,475000,0.06,0.40625,4008.3199332301965,180374.39699535884,216449.2763944306,1002.0799833075491,1202.495979969059,81250.0,97500.0,5000,6000,7000,689.5799833075491,752.4959799690589,627.0799833075491,662.4959799690589,564.5799833075491,572.4959799690589
775000,721497.5879814354,300000,475000,0.06,0.3870967741935484,4008.3199332301965,180374.39699535884,216449.2763944306,1002.0799833075491,1202.495979969059,75000.0,90000.0,5000,6000,7000,689.5799833075491,752.4959799690589,627.0799833075491,662.4959799690589,564.5799833075491,572.4959799690589
875000,744796.7973292476,400000,475000,0.065,0.45714285714285713,4137.759985162486,186199.1993323119,223439.03919877426,1034.4399962906216,1241.3279955487458,100000.0,120000.0,5000,6000,7000,721.9399962906216,791.3279955487459,659.4399962906216,701.3279955487459,596.9399962906216,611.3279955487459
850000,744796.7973292476,375000,475000,0.065,0.4411764705882353,4137.759985162486,186199.1993323119,223439.03919877426,1034.4399962906216,1241.3279955487458,93750.0,112500.0,5000,6000,7000,721.9399962906216,791.3279955487459,659.4399962906216,701.3279955487459,596.9399962906216,611.3279955487459
825000,744796.7973292476,350000,475000,0.065,0.42424242424242425,4137.759985162486,186199.1993323119,223439.03919877426,1034.4399962906216,1241.3279955487458,87500.0,105000.0,5000,6000,7000,721.9399962906216,791.3279955487459,659.4399962906216,701.3279955487459,596.9399962906216,611.3279955487459
800000,744796.7973292476,325000,475000,0.065,0.40625,4137.759985162486,186199.1993323119,223439.03919877426,1034.4399962906216,1241.3279955487458,81250.0,97500.0,5000,6000,7000,721.9399962906216,791.3279955487459,659.4399962906216,701.3279955487459,596.9399962906216,611.3279955487459
775000,744796.7973292476,300000,475000,0.065,0.3870967741935484,4137.759985162486,186199.1993323119,223439.03919877426,1034.4399962906216,1241.3279955487458,75000.0,90000.0,5000,6000,7000,721.9399962906216,791.3279955487459,659.4399962906216,701.3279955487459,596.9399962906216,611.3279955487459
875000,768498.1715788232,400000,475000,0.07,0.45714285714285713,4269.434286549018,192124.5428947058,230549.45147364697,1067.3585716372545,1280.8302859647054,100000.0,120000.0,5000,6000,7000,754.8585716372545,830.8302859647054,692.3585716372545,740.8302859647054,629.8585716372545,650.8302859647054
850000,768498.1715788232,375000,475000,0.07,0.4411764705882353,4269.434286549018,192124.5428947058,230549.45147364697,1067.3585716372545,1280.8302859647054,93750.0,112500.0,5000,6000,7000,754.8585716372545,830.8302859647054,692.3585716372545,740.8302859647054,629.8585716372545,650.8302859647054
